Location,Year,Planting,Latitude,Longitude,Genetics,id_trial,id_loc,PlantingDate,Mat,Yield_Sim,MaxStage,StartDate,PlantingDate_Sim,DTM_Sim,MatDate_Sim,EndDate,Result
NYH2_2015,2015,2015-05-07,42.7324825,-76.65277775,B_105,84,10,2015-05-07,B_105,11917.538551527005,11,2015-04-07,2015-05-07,158,2015-10-12,2015-11-12,Harvested at Maturity.
NYH2_2015,2015,2015-05-07,42.7324825,-76.65277775,B_112,85,10,2015-05-07,B_112,12429.287022851442,11,2015-04-07,2015-05-07,176,2015-10-30,2015-11-30,Harvested at Maturity.
NYH2_2015,2015,2015-05-07,42.7324825,-76.65277775,B_130,86,10,2015-05-07,B_130,10149.597701956058,8.797537745273821,2015-04-07,2015-05-07,166,2015-10-20,2015-11-20,Dead from Total Senescence.
NYH3_2015,2015,2015-05-23,42.7233625,-76.6555945,B_108,87,11,2015-05-23,B_108,10640.687843312258,8.926504715707015,2015-04-23,2015-05-23,150,2015-10-20,2015-11-20,Dead from Total Senescence.
NYH3_2015,2015,2015-05-23,42.7233625,-76.6555945,B_112,88,11,2015-05-23,B_112,9969.147877400876,8.860200763861227,2015-04-23,2015-05-23,150,2015-10-20,2015-11-20,Dead from Total Senescence.
NYH3_2015,2015,2015-05-23,42.7233625,-76.6555945,B_105,89,11,2015-05-23,B_105,10955.857823356186,8.965051717252031,2015-04-23,2015-05-23,150,2015-10-20,2015-11-20,Dead from Total Senescence.
NYH3_2015,2015,2015-05-23,42.7233625,-76.6555945,B_110,90,11,2015-05-23,B_110,9785.256055359929,8.85407294418983,2015-04-23,2015-05-23,150,2015-10-20,2015-11-20,Dead from Total Senescence.
NYH3_2015,2015,2015-05-23,42.7233625,-76.6555945,B_115,91,11,2015-05-23,B_115,9395.52607341002,8.812872554444036,2015-04-23,2015-05-23,150,2015-10-20,2015-11-20,Dead from Total Senescence.
NYH3_2015,2015,2015-05-23,42.7233625,-76.6555945,B_120,92,11,2015-05-23,B_120,8875.710777513228,8.75111461302495,2015-04-23,2015-05-23,150,2015-10-20,2015-11-20,Dead from Total Senescence.
NYH3_2015,2015,2015-05-23,42.7233625,-76.6555945,B_103,93,11,2015-05-23,B_103,11157.882518362316,11,2015-04-23,2015-05-23,168,2015-11-07,2015-12-07,Harvested at Maturity.
NYH3_2015,2015,2015-05-23,42.7233625,-76.6555945,B_100,94,11,2015-05-23,B_100,10894.937538957149,11,2015-04-23,2015-05-23,163,2015-11-02,2015-12-02,Harvested at Maturity.
NYH3_2015,2015,2015-05-23,42.7233625,-76.6555945,B_130,95,11,2015-05-23,B_130,7141.549447629119,8.618434790548795,2015-04-23,2015-05-23,150,2015-10-20,2015-11-20,Dead from Total Senescence.
NYH3_2015,2015,2015-05-23,42.7233625,-76.6555945,B_95,96,11,2015-05-23,B_95,10601.48179826655,11,2015-04-23,2015-05-23,146,2015-10-16,2015-11-16,Harvested at Maturity.
SDH1_2015,2015,2015-05-22,44.208745,-102.928745,B_110,97,12,2015-05-22,B_110,8039.141338186123,8.872090108957115,2015-04-22,2015-05-22,132,2015-10-01,2015-11-01,Dead from Total Senescence.
SDH1_2015,2015,2015-05-22,44.208745,-102.928745,B_103,98,12,2015-05-22,B_103,8205.772147383695,8.995837577203998,2015-04-22,2015-05-22,129,2015-09-28,2015-10-28,Dead from Total Senescence.
SDH1_2015,2015,2015-05-22,44.208745,-102.928745,B_120,99,12,2015-05-22,B_120,7394.58964581509,8.77131410139516,2015-04-22,2015-05-22,138,2015-10-07,2015-11-07,Dead from Total Senescence.
SDH1_2015,2015,2015-05-22,44.208745,-102.928745,B_108,100,12,2015-05-22,B_108,8031.038197005033,8.92005848603696,2015-04-22,2015-05-22,133,2015-10-02,2015-11-02,Dead from Total Senescence.
SDH1_2015,2015,2015-05-22,44.208745,-102.928745,B_112,101,12,2015-05-22,B_112,8020.103422554197,8.836588848932772,2015-04-22,2015-05-22,130,2015-09-29,2015-10-29,Dead from Total Senescence.
SDH1_2015,2015,2015-05-22,44.208745,-102.928745,B_115,102,12,2015-05-22,B_115,7784.862289628507,8.811428331450367,2015-04-22,2015-05-22,132,2015-10-01,2015-11-01,Dead from Total Senescence.
SDH1_2015,2015,2015-05-22,44.208745,-102.928745,B_105,103,12,2015-05-22,B_105,8291.205729008438,8.942060435814252,2015-04-22,2015-05-22,129,2015-09-28,2015-10-28,Dead from Total Senescence.
SDH1_2015,2015,2015-05-22,44.208745,-102.928745,B_130,104,12,2015-05-22,B_130,6969.695999147306,8.667413860844915,2015-04-22,2015-05-22,140,2015-10-09,2015-11-09,Dead from Total Senescence.
SDH1_2015,2015,2015-05-22,44.208745,-102.928745,B_95,105,12,2015-05-22,B_95,8545.1462976509,11,2015-04-22,2015-05-22,129,2015-09-28,2015-10-28,Harvested at Maturity.
SDH1_2015,2015,2015-05-22,44.208745,-102.928745,B_100,106,12,2015-05-22,B_100,8434.545097607157,11,2015-04-22,2015-05-22,140,2015-10-09,2015-11-09,Harvested at Maturity.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_120,107,13,2015-06-04,B_120,6949.482388141181,8.626690296311121,2015-05-04,2015-06-04,136,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_115,108,13,2015-06-04,B_115,7535.455978674677,8.684043322348682,2015-05-04,2015-06-04,136,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_108,109,13,2015-06-04,B_108,8596.577288555314,8.7850413360417,2015-05-04,2015-06-04,136,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_110,110,13,2015-06-04,B_110,8308.587358968034,8.735948669481514,2015-05-04,2015-06-04,136,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_112,111,13,2015-06-04,B_112,8193.869995979365,8.72698583047565,2015-05-04,2015-06-04,136,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_103,112,13,2015-06-04,B_103,9969.392058918682,8.900457525743473,2015-05-04,2015-06-04,136,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_130,113,13,2015-06-04,B_130,5420.554849432697,8.508197362225987,2015-05-04,2015-06-04,136,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_105,114,13,2015-06-04,B_105,8811.465060295131,8.859095961800168,2015-05-04,2015-06-04,136,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_100,115,13,2015-06-04,B_100,10245.876464573232,8.934760669581319,2015-05-04,2015-06-04,136,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_95,116,13,2015-06-04,B_95,10662.991258184347,11,2015-05-04,2015-06-04,147,2015-10-29,2015-11-29,Harvested at Maturity.
WIH1_2015,2015,2015-06-04,43.05511725,-89.528525,B_90,117,13,2015-06-04,B_90,10352.656453935662,11,2015-05-04,2015-06-04,134,2015-10-16,2015-11-16,Harvested at Maturity.
WIH2_2015,2015,2015-05-20,43.326448500000005,-89.33359975,B_108,118,14,2015-05-20,B_108,11541.922316217637,8.959441832909441,2015-04-20,2015-05-20,151,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH2_2015,2015,2015-05-20,43.326448500000005,-89.33359975,B_115,119,14,2015-05-20,B_115,10528.639870041005,8.837355945816974,2015-04-20,2015-05-20,151,2015-10-18,2015-11-18,Dead from Total Senescence.
WIH2_2015,2015,2015-05-20,43.326448500000005,-89.33359975,B_112,120,14,2015-05-20,B_112,11038.116229708136,8.891998613435312,2015-04-20,2015-05-20,151,2015-10-18,2015-11-18,Dead from Total Senescence.
