Env,Year,Date_Planted,Latitude,Longitude,Genetics
GAH1_2017,2017,2017-04-04,31.50794425,-83.55854475000001,B_120
GAH1_2017,2017,2017-04-04,31.50794425,-83.55854475000001,B_115
GAH1_2017,2017,2017-04-04,31.50794425,-83.55854475000001,B_110
GAH1_2017,2017,2017-04-04,31.50794425,-83.55854475000001,B_112
GAH2_2017,2017,2017-05-02,33.727145,-83.29821525,B_115
GAH2_2017,2017,2017-05-02,33.727145,-83.29821525,B_112
GAH2_2017,2017,2017-05-02,33.727145,-83.29821525,B_108
GAH2_2017,2017,2017-05-02,33.727145,-83.29821525,B_120
GAH2_2017,2017,2017-05-02,33.727145,-83.29821525,B_110
GAH2_2017,2017,2017-05-02,33.727145,-83.29821525,B_130
IAH2_2017,2017,2017-05-06,42.06582876,-94.7205012925,B_115
IAH2_2017,2017,2017-05-06,42.06582876,-94.7205012925,B_120
IAH2_2017,2017,2017-05-06,42.06582876,-94.7205012925,B_108
IAH2_2017,2017,2017-05-06,42.06582876,-94.7205012925,B_112
IAH2_2017,2017,2017-05-06,42.06582876,-94.7205012925,B_110
IAH2_2017,2017,2017-05-06,42.06582876,-94.7205012925,B_105
IAH2_2017,2017,2017-05-06,42.06582876,-94.7205012925,B_100
IAH2_2017,2017,2017-05-06,42.06582876,-94.7205012925,B_103
IAH2_2017,2017,2017-05-06,42.06582876,-94.7205012925,B_130
IAH3_2017,2017,2017-04-25,41.9758706025,-92.2431888125,B_112
IAH3_2017,2017,2017-04-25,41.9758706025,-92.2431888125,B_115
IAH3_2017,2017,2017-04-25,41.9758706025,-92.2431888125,B_110
IAH3_2017,2017,2017-04-25,41.9758706025,-92.2431888125,B_120
IAH3_2017,2017,2017-04-25,41.9758706025,-92.2431888125,B_130
IAH3_2017,2017,2017-04-25,41.9758706025,-92.2431888125,B_108
IAH4_2017,2017,2017-05-07,41.9945543175,-93.690309475,B_120
IAH4_2017,2017,2017-05-07,41.9945543175,-93.690309475,B_110
IAH4_2017,2017,2017-05-07,41.9945543175,-93.690309475,B_115
IAH4_2017,2017,2017-05-07,41.9945543175,-93.690309475,B_105
IAH4_2017,2017,2017-05-07,41.9945543175,-93.690309475,B_103
IAH4_2017,2017,2017-05-07,41.9945543175,-93.690309475,B_108
IAH4_2017,2017,2017-05-07,41.9945543175,-93.690309475,B_100
IAH4_2017,2017,2017-05-07,41.9945543175,-93.690309475,B_112
IAH4_2017,2017,2017-05-07,41.9945543175,-93.690309475,B_130
ILH1_2017,2017,2017-04-26,34.19196292257452,-101.96587766472442,B_112
ILH1_2017,2017,2017-04-26,34.19196292257452,-101.96587766472442,B_115
ILH1_2017,2017,2017-04-26,34.19196292257452,-101.96587766472442,B_120
ILH1_2017,2017,2017-04-26,34.19196292257452,-101.96587766472442,B_108
ILH1_2017,2017,2017-04-26,34.19196292257452,-101.96587766472442,B_110
MIH1_2017,2017,2017-05-22,42.68116575,-84.49434124999999,B_120
MIH1_2017,2017,2017-05-22,42.68116575,-84.49434124999999,B_115
MIH1_2017,2017,2017-05-22,42.68116575,-84.49434124999999,B_105
MIH1_2017,2017,2017-05-22,42.68116575,-84.49434124999999,B_110
MIH1_2017,2017,2017-05-22,42.68116575,-84.49434124999999,B_112
MIH1_2017,2017,2017-05-22,42.68116575,-84.49434124999999,B_100
MIH1_2017,2017,2017-05-22,42.68116575,-84.49434124999999,B_108
MIH1_2017,2017,2017-05-22,42.68116575,-84.49434124999999,B_103
MNH1_2017,2017,2017-05-10,44.06646925,-93.533648,B_115
MNH1_2017,2017,2017-05-10,44.06646925,-93.533648,B_120
MNH1_2017,2017,2017-05-10,44.06646925,-93.533648,B_108
MNH1_2017,2017,2017-05-10,44.06646925,-93.533648,B_105
MNH1_2017,2017,2017-05-10,44.06646925,-93.533648,B_95
MNH1_2017,2017,2017-05-10,44.06646925,-93.533648,B_103
MNH1_2017,2017,2017-05-10,44.06646925,-93.533648,B_112
MNH1_2017,2017,2017-05-10,44.06646925,-93.533648,B_110
MNH1_2017,2017,2017-05-10,44.06646925,-93.533648,B_100
MOH1_2017,2017,2017-05-15,38.89264,-92.2057525,B_115
MOH1_2017,2017,2017-05-15,38.89264,-92.2057525,B_120
MOH1_2017,2017,2017-05-15,38.89264,-92.2057525,B_108
MOH1_2017,2017,2017-05-15,38.89264,-92.2057525,B_110
MOH1_2017,2017,2017-05-15,38.89264,-92.2057525,B_112
MOH1_2017,2017,2017-05-15,38.89264,-92.2057525,B_130
NEH3_2017,2017,2017-05-16,41.162,-96.409,B_115
NEH3_2017,2017,2017-05-16,41.162,-96.409,B_120
NEH3_2017,2017,2017-05-16,41.162,-96.409,B_110
NEH3_2017,2017,2017-05-24,41.162,-96.409,B_115
